Company name,Email,E-Mail-Typ,Phone,URL 1,Address,Stadt,Bundesland
Ambulante Krankenpflege  Ulrike May,ulrikemay@mail.com,Persönlich,089 89340819,http://www.pflegedienst-gauting.de,"Münchner Str. 31a , 82131 Gauting",Gauting,Bayern
Ambulante Krankenpflege und Hauspflege Gatz & Zippel GmbH,akh@snafu.de,Persönlich,030 7901160,http://www.akh-krankenpflege.de,"Lepsiusstr. 41, 12163 Berlin",Berlin,Berlin
"Ambulante Krankenpflege und Seniorenbetreuung 
Damaris Benzko",info@aks-benzko.de,Sammelpostfach,0391 2528115,,"Moritzstr. 2d, 39124 Magdeburg",Magdeburg,Sachsen-Anhalt
"Ambulante Krankenpflege und Seniorenbetreuung 
Vollmann",,,034652 789,,"Schafgasse 18, 06542 Allstedt",Allstedt,Thüringen
Ambulante Krankenpflege Unterallgäu,post@pflege-unterallgaeu.de,Sammelpostfach,08332 923740,http://www.pflege-unterallgaeu.de,"Luitpoldstraße 5 , 87724 Ottobeuren",Ottobeuren,Bayern
Ambulante Krankenpflege Vektor Anna Jung,ak.vektor@gmx.de,Persönlich,030 25043168,http://www.ak-vektor.de,"Fanninger Str. 54, 10365 Berlin",Berlin,Berlin
Ambulante Krankenpflege V. Lutz,ambulantepflege@vlutz.de,Persönlich,09656 9149740,,"Bachgasse 12 , 92709 Moosbach",Moosbach,Bayern
Ambulante Krankenpflege Voßhage GmbH,mail@pflegedienst-vosshage.de,Sammelpostfach,0511 427565,http://www.pflegedienst-vosshage.de,"Wallensteinstraße 23 D, 30459 Hannover",Hannover,Niedersachsen
Ambulante Krankenpflege Walter GmbH,pflegedienstwalter@web.de,Persönlich,02293 902053,,"Lindchenweg 1, 51588 Nümbrecht",Nümbrecht,Nordrhein-Westfalen
Ambulante Krankenpflege Walter rechtsrheinisch GmbH,im@whs-management.de,Persönlich,0221 9875060,,"Kieskaulerweg 142, 51109 Köln",Köln,Nordrhein-Westfalen
Ambulante Krankenpflege Wassmus,info@pflegedienst-wassmus.de,Sammelpostfach,05123 4153,https://pflegedienst-wassmus.de,"Holztrift 36, 31174 Schellerten",Schellerten,Niedersachsen
Ambulante Krankenpflege Zuversicht GmbH,,,0340 613414,,"Kühnauer Str. 142, 06846 Dessau-Roßlau",Dessau-Roßlau,Sachsen-Anhalt
Ambulante Kranken- u. Altenpflege Berg GmbH,InfoPflegedienst-Bonn@web.de,Persönlich,0228 9431970,,"Mainzer Str. 112, 53179 Bonn",Bonn,Nordrhein-Westfalen
Ambulante Kranken- und Altenpflege,moennich@seniorenzentrum-durach.de,Persönlich,0831 564260,http://www.seniorenzentrum-durach.de,"Am Leitenacker 9 , 87471 Durach",Durach,Bayern
Ambulante Kranken- und Altenpflege am Main GmbH,,,,,"Mainstr. 143, 63065 Offenbach",Offenbach,Hessen
Ambulante Kranken-und Altenpflege Dieter Lieken GmbH,bjoern.tahden@pflegedienst-lieken.de,Persönlich,04732 929814,http://www.pflegedienst-lieken.de,"Marktstraße 35, 26935 Stadland",Stadland,Niedersachsen
Ambulante Kranken- und Altenpflege Dostyar und Nitschke,info@pflegedienst.care,Sammelpostfach,08151 449092,http://www.starnberger-pflegedienst.de,"Wendelsteinstr. 3 , 82319 Starnberg",Starnberg,Bayern
Ambulante Kranken- und Altenpflege Florence Sanja Jukic,,,069 83045517,,"Hermann-Steinhäuser-Str. 43 - 47, 63065 Offenbach",Offenbach,Hessen
Ambulante Kranken- und Altenpflege Hartmann & Brohm,info@pflegedienst-hub.de,Sammelpostfach,05409 990024,,"Voigtskamp 6, 49176 Hilter",Hilter,Niedersachsen
Ambulante Kranken- und  Altenpflege Katharina Rastel,rastel@pflege-trudering.de,Persönlich,089 43088883,http://www.pflege-trudering.de,"Florastraße 28a , 81827 München",München,Bayern
Ambulante Kranken- und Altenpflege  Kerstin Nickol,kontakt@pflegedienst-nickol.de,Sammelpostfach,037296/ 14649,https://www.kranken-und-altenpflege-nickol.de/,"Chemnitzer Straße 19, 09366 Stollberg",Stollberg,Sachsen
Ambulante Kranken- und Altenpflege MEDITEAM EFLER GmbH,info@mediteam-efler.de,Sammelpostfach,030 78706210,http://www.mediteam-efler.de,"Eisenacher Str. 50, 10823 Berlin",Berlin,Berlin
Ambulante Kranken- und  Altenpflege München Ost,ambulante-pflege-karac@web.de,Persönlich,089 42720839,,"Felicitas-Füss-Str. 4 , 81827 München",München,Bayern
Ambulante Kranken- und Altenpflege Petra Thiel,info@pflegedienst-thiel.de,Sammelpostfach,03661 4387750,,"Reichenbacher Straße 125, 07973 Greiz",Greiz,Thüringen
Ambulante Kranken- und Altenpflege Schneider GmbH,info@schneiderpflege.de,Sammelpostfach,0381 7601737,http://www.schneiderpflege.de,"Güstrower Straße 6/7, 18109 Rostock",Rostock,Mecklenburg-Vorpommern
Ambulante Kranken- und Altenpflege Sonnenschein,pflegedienstinfo@web.de,Persönlich,0821 4339733,,"Hauptstraße 62 , 86391 Stadtbergen",Stadtbergen,Bayern
Ambulante Kranken- und Altenpflege St. Antonius Hospital Gronau GmbH,,,02562 9151800,,"Möllenweg 22, 48599 Gronau",Gronau,Nordrhein-Westfalen
"Ambulante Kranken- und Altenpflegestat. d. Pfarreien Sinzing, Eilsbrunn, Viehhausen",pflegeteam@ambulante-sinzing.de,Persönlich,0941 32566,http://www.ambulante-sinzing.de,"Kirchweg 5 , 93161 Sinzing",Sinzing,Bayern
Ambulante Kranken- und Altenpflege St. Elisabeth,info@sozialstation-reischach.de,Sammelpostfach,08670 5335,http://www.pfarrverband-reischach.bistum-passau.de,"Eggenfeldener Str. 21c , 84571 Reischach",Reischach,Bayern
Ambulante Kranken- und Seniorenbetreuung Elite GbR,,,,,"Strohberg 7, 70180 Stuttgart",Stuttgart,Baden-Württemberg
"Ambulante Kranken- und  Seniorenpflege ""diTHO""",,,09422 2039900,http://www.pflegedienst-ditho.com,"Veit-Höser-Str. 27 , 94327 Bogen",Bogen,Bayern
Ambulante Kranken- und Seniorenpflege Nicole,,,02191 9334343,,"Hammesberger Str. 15, 42855 Remscheid",Remscheid,Nordrhein-Westfalen
Ambulante Kranken- und Seniorenpflege Rosengarten,pflegedienst.rosengarten@gmx.de,Sammelpostfach,04108 3137,,"Bremer Straße 46, 21224 Rosengarten",Rosengarten,Schleswig-Holstein
Ambulante Kranken-und Seniorenpflege SDH,info@sdh-pflegedienst.de,Sammelpostfach,0541 9611024,http://sdh-pflegedienst.de,"Am Schoelerberg 9, 49082 Osnabrück",Osnabrück,Niedersachsen
Ambulante Kranken- und Senioren Versorgung AKSV GmbH,info@aksv-krankenpflege.de,Sammelpostfach,0221 9792737,,"Kurt-Weill-Weg 21, 50829 Köln",Köln,Nordrhein-Westfalen
Ambulante Kranken- und Sozialpflege e.V. Amb. Krankenpflege SGB XI,,,,,"Prinz-Christians-Weg 7, 64287 Darmstadt",Darmstadt,Hessen
Ambulante Kranken- u. Seniorenpflege Holger Kristan & Birgit Kablitz,,,02191 82821,,"Hastener Str. 72, 42855 Remscheid",Remscheid,Nordrhein-Westfalen
Ambulante Kranken- u. Seniorenpflege Manuela Hinrichsen,info@pflegedienst-hinrichsen.de,Sammelpostfach,05424 3574,http://www.pflegedienst-hinrichsen.de,"Osnabrücker Str. 5, 49176 Hilter",Hilter,Niedersachsen
Ambulante Nachtpflege Daheim gGmbH,nachtpflege@t-online.de,Persönlich,06221 29029,http://www.nachtpflege.de,"Brennerweg 39, 69124 Heidelberg",Heidelberg,Baden-Württemberg
Ambulante Pflege,ambulantepflege@daslebenswerk.de,Persönlich,05121 133783,,"Osterstraße 33, 31134 Hildesheim",Hildesheim,Niedersachsen
Ambulante Pflege 24 GmbH,r.karrass@intensivpflege-pulsnitz.de,Persönlich,035955 43893,,"Lessingstraße 16, 01896 Pulsnitz",Pulsnitz,Sachsen
Ambulante Pflege 57,info@ap57.de,Sammelpostfach,02761 9475057,,"Zum Listersee 22, 57489 Drolshagen",Drolshagen,Nordrhein-Westfalen
Ambulante Pflege Aktiv GmbH,info@ambulante-pflege-aktiv.de,Sammelpostfach,06022 71653,http://www.ambulante-pflege-aktiv.de,"Eichenweg 1 , 63785 Obernburg a.Main",Obernburg a.Main,Hessen
Ambulante Pflege A & K UG (haftungsbeschränkt),,,05341 9055353,,"Töpferreihe 17, 38259 Salzgitter",Salzgitter,Niedersachsen
Ambulante Pflege Amelie UG (haftungsbeschränkt),amelie.pflege@gmx.de,Persönlich,030 74926749,,"Philippistr. 4, 14059 Berlin",Berlin,Berlin
Ambulante Pflege am Kaiserberg GmbH,info@ambulante-pflege-am-kaiserberg.de,Sammelpostfach,0203 51889640,,"Wilhelmshöhe 6, 47058 Duisburg",Duisburg,Nordrhein-Westfalen
Ambulante Pflege am Meer,ambualontepflegeammeer@t-online.de,Persönlich,0431 59675997,,"Langenfelde 123c, 24159 Kiel",Kiel,Schleswig-Holstein
"Ambulante Pflege ""Am See""",info@ambulante-pflege-am-see.de,Sammelpostfach,0203 73861732,,"Koloniestr. 97a, 47057 Duisburg",Duisburg,Nordrhein-Westfalen
Ambulante Pflege am UKM Marienhospital,,,02552 791210,,"Mauritiusstr. 5, 48565 Steinfurt",Steinfurt,Nordrhein-Westfalen
Ambulante Pflege an der LWL-Klinik Lengerich,,,05481 12371,,"Parkallee 10, 49525 Lengerich",Lengerich,Niedersachsen
Ambulante Pflege an der Starzel,,,07471 9309607,,"Oberdorfstr. 4, 72414 Rangendingen",Rangendingen,Baden-Württemberg
Ambulante Pflege Angeln gGmbH,info@ap-angeln.de,Sammelpostfach,04633 967290,http://www.ap-angeln.de,"Reeperbahn 4, 24376 Kappeln",Kappeln,Schleswig-Holstein
Ambulante Pflege A. Reichwein GmbH,info@reichwein-pflege.de,Sammelpostfach,03643 497678,,"Carl-August-Allee 14, 99423 Weimar",Weimar,Thüringen
Ambulante Pflege Ariadne,lilia.f0603@web.de,Persönlich,05281 1606886,,"Annenstraße 15, 31812 Bad Pyrmont",Bad Pyrmont,Niedersachsen
Ambulante Pflege ars vivendi Häusliche Krankenpflege,,,,,"Rathausstr. 4, 34454 Bad Arolsen",Bad Arolsen,Hessen
Ambulante Pflege Artis GmbH,info@ambulantepflegeartis.de,Sammelpostfach,089 30668085,http://www.ambulantepflegeartis.de,"Albert-Roßhaupter-Str. 108 , 81369 München",München,Bayern
Ambulante Pflege ASB Bottrop,sozialstation@asb-ruhr.info,Sammelpostfach,02041 3754412,http://www.asb-bottrop.de,"An der Kommende 13, 46238 Bottrop",Bottrop,Nordrhein-Westfalen
Ambulante Pflege ASB Regionalverband Ostholstein,,,04362 900452,http://www.asb-heiligenhafen.com,"Tollbrettkoppel 15, 23774 Heiligenhafen",Heiligenhafen,Schleswig-Holstein
Ambulante Pflege-Assistenz Hamburg GbR,info@apahgbr.de,Sammelpostfach,040 2190960,,"Schiffbeker Weg 315, 22043 Hamburg",Hamburg,Hamburg
Ambulante Pflege Aurora GmbH,info@auroraambulant.de,Sammelpostfach,0214 96007670,,"Pützdelle 1a, 51371 Leverkusen",Leverkusen,Nordrhein-Westfalen
Ambulante Pflege Bad Brückenau,asd-brueckenau@awo-unterfranken.de,Persönlich,09741 5553,http://www.awo-unterfranken.de,"Im Kalkgrund 32 , 97769 Bad Brückenau",Bad Brückenau,Bayern
Ambulante Pflege Bad Godesberg Diakonisches Werk - Pflege - und Gesundheitszentrum (PGZ),ambulantepflege.badgodesberg@dw-bonn.de,Persönlich,0228 22722410,,"Godesberger Allee 6-8, 53175 Bonn",Bonn,Nordrhein-Westfalen
Ambulante Pflege Bella Vita GbR,info@pflege-bellavita.de,Sammelpostfach,0174 3078360,http://www.pflege-bellavita.de,"Königseschstraße 49, 48431 Rheine",Rheine,Nordrhein-Westfalen
Ambulante Pflege Berlin by Oxylis,berlin@oxylis.de,Persönlich,030 53670462,,"Berliner Allee 105, 13088 Berlin",Berlin,Berlin
Ambulante Pflege Bertram,info@ambulante-pflege-bertram.de,Sammelpostfach,05136 920370,http://www.ambulante-pflege-bertram.de,"Salzstraße 18, 31303 Burgdorf",Burgdorf,Niedersachsen
Ambulante Pflege Bock GmbH,jahnecke-bock@wohnpark-tannhof.de,Persönlich,04321 955846,http://www.wohnpark-tannhof.de,"Kieler Str. 452, 24536 Neumünster",Neumünster,Schleswig-Holstein
Ambulante Pflege Breitenbrunn,mail11@awo-in-sachsen.de,Persönlich,037756 80977,,"Am Weißwald 9, 08359 Breitenbrunn",Breitenbrunn,Sachsen
Ambulante Pflege Brinkmann,ambulantepflegebrinkmann@osnanet.de,Persönlich,0541 8601830,http://ambulantepflegebrinkmann.de,"Schützenstraße 45, 49084 Osnabrück",Osnabrück,Niedersachsen
Ambulante Pflege Brühl GmbH,,,0234 91190,,"Gerberstraße 3-7, 44787 Bochum",Bochum,Nordrhein-Westfalen
Ambulante Pflege Buchholz,pflege-buchholz@johanniter.de,Sammelpostfach,04181 380868,http://www.johanniter.de/die-johanniter/johanniter-unfall-hilfe/juh-vor-ort/landesverband-nord/regionalverband-harburg/ansprechpartner/ambulante-pflege/,"Rütgerstraße 3, 21244 Buchholz",Buchholz,Schleswig-Holstein
Ambulante Pflege Bünnagel Bettina Bünnagel,b-buennagel@web.de,Persönlich,02056 5990361,,"Von-Humboldt-Str. 103, 42549 Velbert",Velbert,Nordrhein-Westfalen
Ambulante Pflege Buer,leistungsabrechnung@caritas-gelsenkirchen.de,Persönlich,0209 933380,,"Goldbergstr. 11a, 45894 Gelsenkirchen",Gelsenkirchen,Nordrhein-Westfalen
Ambulante Pflege Burg,ewa.nikta@bethel.de,Persönlich,0511 75009848,http://www.bethel-im-norden.de,"Wernigeroder Weg 26, 30419 Hannover",Hannover,Niedersachsen
Ambulante Pflege Burgdorf,pdl@pflegedienst-burgdorf.com,Persönlich,05136 3161,http://www.pflegedienst-burgdorf.com,"Feldstraße 9, 31303 Burgdorf",Burgdorf,Niedersachsen
Ambulante Pflege Burgwedel,info@ambulante-pflege-burgwedel.de,Sammelpostfach,05135 1475,http://www.ambulante-pflege-burgwedel.de,"Vor dem Hagen 2, 30938 Burgwedel",Burgwedel,Niedersachsen
Ambulante Pflege Cannalonga GmbH,verwaltung@cannalonga.com,Sammelpostfach,08192 237740,http://www.ammersee-pflege.de,"Bahnhofstr. 29 a , 86938 Schondorf a. Ammersee",Schondorf a. Ammersee,Bayern
Ambulante Pflege Christiane Ricker GmbH,info@pflege-christiane-ricker.de,Sammelpostfach,0212 3826655,,"Helenenstr. 1, 42651 Solingen",Solingen,Nordrhein-Westfalen
Ambulante Pflege Christian Tenkleve,christian.tenkleve@t-online.de,Persönlich,05977 92195,,"Bönnestraße 15, 48480 Spelle",Spelle,Nordrhein-Westfalen
Ambulante Pflege Daheim GmbH,ambulante-pflege-daheim@gmx.de,Persönlich,04532 4009393,http://www.ambulante-pflege-daheim-am.de,"Theodor-Storm-Str. 1b, 22941 Bargteheide",Bargteheide,Schleswig-Holstein
Ambulante Pflege der AWO VITA gGmbH,miroslawa.jachimowicz-ast@awo-duesseldorf.de,Persönlich,0211 60025412,,"Schlossalle 12c, 40229 Düsseldorf",Düsseldorf,Nordrhein-Westfalen
Ambulante Pflege der Franziskusheim gGmbH,info@franziskusheim-gk.de,Sammelpostfach,02451 62090,,"Im Gang 38, 52511 Geilenkirchen",Geilenkirchen,Nordrhein-Westfalen
Ambulante Pflege der  Nachbarschaftshilfe GARCHING e.V.,ambulante-pflege@nbh-garching.de,Persönlich,089 89043146,http://www.nbh-garching.de,"Mühlfeldweg 2 , 85748 Garching",Garching,Bayern
Ambulante Pflege der Paritätischen Dienste,paritaetische-dienste@paritaetischer-bs.de,Persönlich,0531 4807934,http://www.paritaetischer-bs.de,"Saarbrückener Str. 50, 38116 Braunschweig",Braunschweig,Niedersachsen
Ambulante Pflege des Paritätischen,info-hameln@paritaetischer.de,Sammelpostfach,05151 57610,http://www.hameln.paritaetischer.de,"Kaiserstraße 80, 31785 Hameln",Hameln,Niedersachsen
Ambulante Pflege des Paritätischen Leer,christina.neusinger@paritaetischer.de,Persönlich,0491 925310,,"Von-Jhering-Straße 8, 26789 Leer",Leer,Niedersachsen
Ambulante Pflegedienst DeNa Ambulante Pflege SGB XI,,,069 30035515,,"Königsteiner Str. 120, 65929 Frankfurt",Frankfurt,Hessen
Ambulante Pflegedienste ADA GmbH,kontakt@ada-ambulante-pflegedienste.de,Sammelpostfach,040 85100726,,"Buddestr. 7, 21109 Hamburg",Hamburg,Hamburg
Ambulante Pflegedienste COR GmbH Köln-Süd,info@cor-pflege.de,Sammelpostfach,0221 29777937,,"Leichweg 1, 50969 Köln",Köln,Nordrhein-Westfalen
"Ambulante Pflegedienste Halle Saalekreis
Kay Müller",kontakt@intensivpflege-halle-saalekreis.de,Sammelpostfach,0345 77402531,,"Ludwig-Wucherer-Straße 28, 06108 Halle",Halle,Sachsen-Anhalt
Ambulante Pflegedienste Johannes Carstensen GmbH,info@apjc.de,Sammelpostfach,04843 1224,http://www.apjc.de,"Löwenstedter Str. 18, 25855 Haselund",Haselund,Schleswig-Holstein
Ambulante Pflegedienste Medi-Cure Berlin GmbH,info@freiepflegeberlin.de,Sammelpostfach,030 42089636,,"Fanninger Str. 48, 10365 Berlin",Berlin,Berlin
Ambulante Pflegedienste Rasch GmbH,info@rasch-pflege.de,Sammelpostfach,030 88704794,,"Spanheimstraße 1, 13357 Berlin",Berlin,Berlin
Ambulante Pflegedienst Mitra GmbH,info@mitra-pflegedienst.de,Sammelpostfach,0511 39431345,http://www.mitra-pflegedienst.de,"Jakobistraße 31, 30163 Hannover",Hannover,Niedersachsen
Ambulante Pflegedienst Mobile e.V.,,,02551 7366,,"Johanniterstr. 48, 48565 Steinfurt",Steinfurt,Nordrhein-Westfalen
Ambulante Pflegedienst MUTTI GmbH,mutti.info@gmx.de,Persönlich,0176 45850000,,"Löhestr. 63, 53773 Hennef (Sieg)",Hennef (Sieg),Nordrhein-Westfalen
Ambulante Pflegedienst Quercus GmbH,mtsdesings@hotmail.com,Persönlich,02566 9346049,,"Am Holtkebach 1, 48720 Rosendahl",Rosendahl,Nordrhein-Westfalen
Ambulante Pflegedienst Staude GmbH,,,03471 316152,,"Karlsplatz 3, 06406 Bernburg",Bernburg,Sachsen-Anhalt
Ambulante Pflege  DIESELBSTBESTIMMER - Assistenz für Einzigartigkeit,info@dieselbstbestimmer.de,Sammelpostfach,0351 45418103,,"Meißner Landstraße 128, 01157 Dresden",Dresden,Sachsen
Ambulante Pflege DRK Jülich,info@drk-juelich.de,Sammelpostfach,02463 434343,,"Oststr. 22, 52428 Jülich",Jülich,Nordrhein-Westfalen
Ambulante Pflege Dück,info@ambulante-pflege-dueck.de,Sammelpostfach,02525 9104678,http://www.ambulante-pflege-dueck.de," , 59269 Beckum",Beckum,Nordrhein-Westfalen
Ambulante Pflege Egestorff,hauspflege@egestorff.de,Persönlich,0421 4604404,,"Züricher Straße 5, 28325 Bremen",Bremen,Bremen
Ambulante Pflegeeinrichtung der  DRK Aue-Schwarzenberg gGmbH,uta.georgi@drk-asz.de,Persönlich,03771 550033,,"Schwarzenberger Straße 7, 08280 Aue-Bad Schlema",Aue-Bad Schlema,Sachsen
Ambulante Pflege Emden,,,04921 8209950,,"Bollwerkstraße 45, 26725 Emden",Emden,Niedersachsen
Ambulante PflegeEngel,pflegeengel-weissdorf@web.de,Persönlich,09251 4306781,http://www.pflegeengel-weissdorf.de,"Am Mechlenreuther Weg 1 , 95237 Weißdorf",Weißdorf,Bayern
Ambulante Pflege-Engel GmbH,ilona@pflege-engel.de,Persönlich,09704 601160,http://www.pflege-engel.de,"Mauerackerstr. 9 , 97725 Elfershausen",Elfershausen,Bayern
Ambulante PflegeEngel GmbH,,,06400 9510750,,"Bachwiesenweg 4, 35305 Grünberg",Grünberg,Hessen
"Ambulante Pflege Engel
Madlen Hubert",,,034953 88262,,"Str. des Friedens 14, 06772 Gräfenhainichen",Gräfenhainichen,Sachsen-Anhalt
Ambulante Pflege Eschert GmbH,info@pflegedienst-eschert.de,Sammelpostfach,02306 22770,http://www.pflegedienst-eschert.de,"Viktoriastr. 8, 44532 Lünen",Lünen,Nordrhein-Westfalen
Ambulante Pflege Espachstift,ap@espachstift.de,Persönlich,08341 950251,http://www.espachstift.de,"An der Schnelle 8 , 87600 Kaufbeuren",Kaufbeuren,Bayern
Ambulante Pflege-Experten,info@pflege-experten-hoersel.de,Sammelpostfach,03622 6599430,,"Kirchplatz 9, 99880 Hörselgau",Hörselgau,Thüringen
Ambulante Pflegeexperten Wernberg Katja Böhnstedt,info@ambulante-pflegeexperten-wernberg.de,Sammelpostfach,09604 4919347,http://www.ambulante-pflegeexperten-wernberg.de,"Nürnberger Str. 6 , 92533 Wernberg-Köblitz",Wernberg-Köblitz,Bayern
Ambulante Pflege Fahrendorf,service@ap-fahr.de,Sammelpostfach,04764 - 811 077 2,https://www.ap-fahr.de/,"Hindenburgstraße 71, 27442 Gnarrenburg",Gnarrenburg,Niedersachsen
Ambulante Pflege Falkenhagener Feld Johannesstift Diakonie,ambulante-pflege-falkenhagener-feld@jsd.de,Persönlich,030 370227300,http://www.evangelisches-johannesstift.de,"Stadtrandstr. 555, 13589 Berlin",Berlin,Berlin
Ambulante Pflegefeen GmbH,,,06232 8718805,,"Birkenweg 2, 67346 Speyer",Speyer,Rheinland-Pfalz
Ambulante Pflege Feis GmbH,amb.pflege.feis@t-online.de,Persönlich,02064 1413474,,"Kirchstr. 89a, 46539 Dinslaken",Dinslaken,Nordrhein-Westfalen
Ambulante Pflege Fliedergrün,fliedergruen@gmx.de,Persönlich,04533 6105763,,"Ahrensböker Str. 12, 23858 Reinfeld",Reinfeld,Schleswig-Holstein
Ambulante Pflege Freudenberg by OXYLIS,freudenberg@oxylis.de,Persönlich,02734 47500,https://www.oxylis.de/freudenberg,"Bahnhofstr. 44, 57258 Freudenberg",Freudenberg,Nordrhein-Westfalen
Ambulante Pflege Friedrichshain/Lichtenberg der Volkssolidarität,sozialdienste-berlin-ggmbh@volkssolidaritaet.de,Persönlich,030 2933570,http://www.volkssolidaritaet.de,"Einbecker Str. 85, 10315 Berlin",Berlin,Berlin
Ambulante Pflege Friesland,,,,,"Menkestraße 23, 26419 Schortens",Schortens,Niedersachsen
"Ambulante Pflege Fröhlich
Roland Fröhlich",ambulantepflege_froehlich@yahoo.de,Persönlich,0340 24048181,,"Kornhausstr. 23, 06846 Dessau-Roßlau",Dessau-Roßlau,Sachsen-Anhalt
Ambulante Pflege Ganz Daniela Michaela Ganz,,,,,"Panoramastr. 46, 74321 Bietigheim-Bissingen",Bietigheim-Bissingen,Baden-Württemberg
"Ambulante Pflege ""Gemeinsam Leben""",pflege.mariolauer@web.de,Sammelpostfach,09565 6169244,http://www.pflegedienst-mariolauer.de,"Sudetenstraße 3 , 96253 Untersiemau",Untersiemau,Bayern
Ambulante Pflege Gemeinschaftsdienst,koehler@gemeinschaftsdienst.de,Persönlich,02374 9232315,http://www.gemeinschaftsdienst.de,"Am Dorfplatz 23, 58642 Iserlohn",Iserlohn,Nordrhein-Westfalen
Ambulante Pflege Gerdes GmbH,info@pflegedienst-brunsbuettel.de,Sammelpostfach,04852 52233,,"Brunsbütteler Straße 8, 25541 Brunsbüttel",Brunsbüttel,Schleswig-Holstein
Ambulante Pflegegesellschaft mbH,,,05703 51500,,"Holzweg 3, 32479 Hille",Hille,Nordrhein-Westfalen
Ambulante Pflege gGmbH Sanitätsverein Neu-Isenburg 1861,,,06102 22250,,"Schützenstr. 61, 63263 Neu-Isenburg",Neu-Isenburg,Hessen
Ambulante Pflege Glahé,info@pflege-algermissen.de,Sammelpostfach,05126 96451,,"Marktstraße 48, 31191 Algermissen",Algermissen,Niedersachsen
Ambulante Pflege GmbH am Krankenhaus Rudolstadt Haus J,ap-gmbh@t-online.de,Persönlich,03672 480290,,"Titaniastraße 13, 07407 Rudolstadt",Rudolstadt,Thüringen
Ambulante Pflege Gronau,pflegedienst.gronau@wittekindshof.de,Sammelpostfach,02562 916135,http://www.wittekindshof.de,"Schürblick 1d, 48599 Gronau",Gronau,Nordrhein-Westfalen
Ambulante Pflege Großstadtherzen UG (haftungsbeschränkt),info@grossstadtherzen.de,Sammelpostfach,0341 24927833,,"Zschochersche Straße 49, 04229 Leipzig",Leipzig,Sachsen
Ambulante Pflege Grubitz,info@pflege-grubitz.de,Sammelpostfach,05139 9837272,,"Wallstraße 6, 30938 Burgwedel",Burgwedel,Niedersachsen
Ambulante Pflege Hagen -  Lückert & Benner GbR,info@ambulante-pflege-hagen.de,Sammelpostfach,02331 3679925,,"Helfer Str. 52, 58099 Hagen",Hagen,Nordrhein-Westfalen
Ambulante Pflege Hahn by Oxylis,,,02622 8859660,,"Engerser Str. 59, 56170 Bendorf",Bendorf,Rheinland-Pfalz
Ambulante Pflege Hans-D. Linke,info@emmacura.de,Sammelpostfach,05541 955899,,"Wall 11, 34346 Hann. Münden",Hann. Münden,Hessen
Ambulante Pflege Harant Ramona Harant,,,06237 9799727,,"Waldstr. 29, 67134 Birkenheide",Birkenheide,Rheinland-Pfalz
Ambulante Pflege  Haus Mariacron,info@haus-mariacron.de,Sammelpostfach,09182 1622,http://www.haus-mariacron.de,"Hinterer Markt 4 , 92355 Velburg",Velburg,Bayern
Ambulante Pflege Heilig Geist,deanovic@hzhg.de,Persönlich,040 60601430,,"Hinsbleek 11, 22391 Hamburg",Hamburg,Hamburg
Ambulante Pflegehelden GbR,ambulantepflegehelden@outlook.de,Persönlich,040 41494681,,"Industriestr. 8, 22885 Barsbüttel",Barsbüttel,Schleswig-Holstein
"Ambulante Pflege ""Helfende Hände"" (Rathenow)",Andy.Meereis@mdz-havelland.de,Persönlich,03385 570120,http://www.havelland-kliniken.de,"Forststr. 19, 14712 Rathenow",Rathenow,Brandenburg
"Ambulante Pflege ""Helfende Hände"" (Falkensee)",Ambulante.Pflege.Falkensee@mdz-havelland.de,Persönlich,03322 4220467,,"Nauener Str. 72, 14612 Falkensee",Falkensee,Brandenburg
Ambulante Pflege Helfen mit Herz und Verstand,info@ambulantepflegespeitel.de,Sammelpostfach,0931 4676143,http://www.ambulantepflegespeitel.de,"Johannes-Keppler-Straße 15 , 97074 Würzburg",Würzburg,Bayern
Ambulante Pflege Herzblatt,info@pflegeherzblatt.de,Sammelpostfach,089 82988315,http://www.pflegeherzblatt.de,"Alte Allee 23 , 81245 München",München,Bayern
Ambulante Pflege Heumarkt Pfeiffersche Stiftungen,steffi.ginap@pfeiffersche-stiftungen.org,Persönlich,0391 88695866,,"Brückstraße 10, 39114 Magdeburg",Magdeburg,Sachsen-Anhalt
Ambulante Pflege HG GmbH,info@pflegehg.de,Sammelpostfach,030 30106494,http://www.pflegehg.de,"Philippistr. 1 a, 14059 Berlin",Berlin,Berlin
Ambulante Pflege Hilke Venderbosch Glücklich Zuhause,hilke.venderbosch@freenet.de,Persönlich,02822 9759101,,"Reeser Str. 384, 46446 Emmerich",Emmerich,Nordrhein-Westfalen
Ambulante Pflege Hortensie,info@cherumed.de,Sammelpostfach,01522 1395802,,"Osnabrücker Straße 1, 49143 Bissendorf",Bissendorf,Niedersachsen
Ambulante Pflege Houda GmbH,info@houda-pflege.de,Sammelpostfach,02191 690610,,"Luisenstr. 11, 42853 Remscheid",Remscheid,Nordrhein-Westfalen
Ambulante Pflege Humana Cura GmbH,info@humana-cura.de,Sammelpostfach,0521 98913367,,"Westerfeldstr. 1-3, 33611 Bielefeld",Bielefeld,Nordrhein-Westfalen
Ambulante Pflege Humanitas Krankenhaus und Heime GmbH Haus Heimberg,,,09341 8001402,,"Kapellenstr. 10, 97941 Tauberbischofsheim",Tauberbischofsheim,Bayern
